code,nom,pourcentage,complet
24256,Marsac-sur-l'Isle,"33,33",non
24352,Ribérac,"100,00",oui
24376,Saint Aulaye-Puymangou,"100,00",oui
24454,Saint-Martin-de-Gurson,"100,00",oui
24519,Sarlande,"100,00",oui
25057,Bethoncourt,"100,00",oui
25058,Beure,"100,00",oui
25284,Grand-Charmont,"100,00",oui
25367,Mandeure,"100,00",oui
25462,Pontarlier,"100,00",oui
25463,Pont-de-Roide-Vermondans,"100,00",oui
26011,Aouste-sur-Sye,"100,00",oui
26042,Beauvallon,"100,00",oui
26063,Buis-les-Baronnies,"100,00",oui
26113,Die,"100,00",oui
26193,Montbrun-les-Bains,"100,00",oui
26210,Valherbasse,"100,00",oui
26220,Nyons,"100,00",oui
26252,Portes-lès-Valence,"100,00",oui
26289,Saillans,"100,00",oui
26292,Saint-Auban-sur-l'Ouvèze,"100,00",oui
26324,Saint-Paul-Trois-Châteaux,"100,00",oui
27016,Les Andelys,"100,00",oui
27149,La Chapelle-Hareng,"100,00",oui
27275,Gaillon,"100,00",oui
27375,Louviers,"100,00",oui
27412,Terres de Bord,"100,00",oui
27481,Pullay,"100,00",oui
28015,Auneau-Bleury-Saint-Symphorien,"100,00",oui
28085,Chartres,"100,00",oui
28094,Chaudon,"100,00",oui
28280,Nogent-le-Rotrou,"100,00",oui
28370,Saumeray,"100,00",oui
2A198,Ota,"100,00",oui
2B173,Muro,"100,00",oui
2B328,Tox,"100,00",oui
29003,Audierne,"100,00",oui
29016,Brasparts,"100,00",oui
29024,Carhaix-Plouguer,"100,00",oui
29026,Châteaulin,"100,00",oui
29039,Concarneau,"94,11",non
29069,Guilers,"100,00",oui
29105,Landivisiau,"100,00",oui
29134,Locronan,"100,00",oui
29135,Loctudy,"100,00",oui
29136,Locunolé,"100,00",oui
29147,Mellac,"100,00",oui
29153,Névez,"100,00",oui
29158,Penmarch,"100,00",oui
29188,Plougasnou,"100,00",oui
29189,Plougastel-Daoulas,"100,00",oui
29190,Plougonvelin,"100,00",oui
29218,Pont-Croix,"100,00",oui
29221,Porspoder,"100,00",oui
29274,Scaër,"100,00",oui
30037,Bessèges,"100,00",oui
30092,Connaux,"100,00",oui
30127,Gaujac,"100,00",oui
30168,Mialet,"100,00",oui
30202,Pont-Saint-Esprit,"100,00",oui
30346,Vers-Pont-du-Gard,"100,00",oui
31023,Aulon,"100,00",oui
31042,Bagnères-de-Luchon,"66,66",non
31107,Carbonne,"100,00",oui
31165,Eaunes,"100,00",oui
31239,L'Isle-en-Dodon,"100,00",oui
31282,Launaguet,"100,00",oui
31390,Montréjeau,"100,00",oui
31461,Rouède,"100,00",oui
31512,Saint-Pierre-de-Lages,"100,00",oui
32160,L'Isle-Jourdain,"100,00",oui
32290,Montréal,"100,00",oui
32459,Valence-sur-Baïse,"100,00",oui
33013,Artigues-près-Bordeaux,"100,00",oui
33015,Arveyres,"100,00",oui
33030,Barsac,"100,00",oui
33042,Belin-Béliet,"100,00",oui
33047,Berson,"100,00",oui
33052,Les Billaux,"100,00",oui
33058,Blaye,"100,00",oui
33073,Braud-et-Saint-Louis,"100,00",oui
33081,Cadillac-sur-Garonne,"100,00",oui
33104,Castelnau-de-Médoc,"100,00",oui
33140,Créon,"100,00",oui
33157,Espiet,"100,00",oui
33174,Fronsac,"100,00",oui
33199,Gujan-Mestras,"100,00",oui
33219,La Lande-de-Fronsac,"100,00",oui
33238,Léognan,"100,00",oui
33311,Paillet,"100,00",oui
33312,Parempuyre,"100,00",oui
33317,Périssac,"100,00",oui
33348,Queyrac,"100,00",oui
33382,Saint-Christoly-de-Blaye,"100,00",oui
33389,Saint-Ciers-sur-Gironde,"100,00",oui
33496,Salleboeuf,"100,00",oui
33544,Le Verdon-sur-Mer,"100,00",oui
34028,Bédarieux,"100,00",oui
34033,Boisseron,"100,00",oui
34145,Lunel,"100,00",oui
34154,Mauguio,"100,00",oui
34158,Minerve,"100,00",oui
34159,Mireval,"100,00",oui
34161,Montady,"100,00",oui
34173,Montpeyroux,"100,00",oui
34192,Palavas-les-Flots,"100,00",oui
34217,Prades-le-Lez,"100,00",oui
34239,Saint-André-de-Sangonis,"100,00",oui
34266,Saint-Jean-de-Cuculles,"100,00",oui
34321,Valergues,"100,00",oui
34337,Villeneuve-lès-Maguelone,"100,00",oui
35101,Dourdain,"100,00",oui
35210,Pacé,"100,00",oui
35231,Poligné,"100,00",oui
35359,Visseiche,"100,00",oui
36006,Argenton-sur-Creuse,"100,00",oui
36036,Chalais,"100,00",oui
36109,Le Magny,"100,00",oui
36117,Le Menoux,"100,00",oui
36182,Saint-Benoît-du-Sault,"100,00",oui
36244,Villentrois-Faverolles-en-Berry,"100,00",oui
37081,Cléré-les-Pins,"100,00",oui
37105,Faye-la-Vineuse,"100,00",oui
37139,Luynes,"60,00",non
37143,Manthelan,"100,00",oui
37151,La Membrolle-sur-Choisille,"50,00",non
37163,Nazelles-Négron,"100,00",oui
37250,Sorigny,"100,00",oui
38022,Les Avenières Veyrins-Thuellin,"100,00",oui
38128,Corps,"100,00",oui
38138,Crémieu,"100,00",oui
38150,Domène,"100,00",oui
38190,Hières-sur-Amby,"100,00",oui
38193,L'Isle-d'Abeau,"100,00",oui
38225,Autrans-Méaudre en Vercors,"100,00",oui
38337,Rives,"100,00",oui
38395,Plateau-des-Petites-Roches,"100,00",oui
38407,La Sure en Chartreuse,"100,00",oui
38471,Le Sappey-en-Chartreuse,"100,00",oui
38507,Tignieu-Jameyzieu,"100,00",oui
38555,Villeneuve-de-Marc,"100,00",oui
39047,Bellefontaine,"100,00",oui
39182,Crissey,"100,00",oui
39189,Damparis,"100,00",oui
39478,Saint-Claude,"100,00",oui
40187,Moliets-et-Maa,"100,00",oui
40209,Ondres,"100,00",oui
41046,Chaumont-sur-Tharonne,"100,00",oui
41067,Cour-Cheverny,"100,00",oui
41097,Gièvres,"100,00",oui
41280,Villefranche-sur-Cher,"100,00",oui
42095,Firminy,"100,00",oui
42123,Lorette,"100,00",oui
42207,Saint-Chamond,"100,00",oui
42231,Saint-Germain-Lespinasse,"100,00",oui
42285,Saint-Romain-le-Puy,"100,00",oui
42323,Veauche,"100,00",oui
43020,Bas-en-Basset,"100,00",oui
43211,Saint-Maurice-de-Lignon,"100,00",oui
44015,Blain,"100,00",oui
44049,Le Croisic,"100,00",oui
44056,Fay-de-Bretagne,"100,00",oui
44072,Herbignac,"100,00",oui
44129,Pontchâteau,"100,00",oui
44195,Savenay,"100,00",oui
44204,Thouaré-sur-Loire,"100,00",oui
44213,Loireauxence,"100,00",oui
45053,Briare,"100,00",oui
45098,Cléry-Saint-André,"100,00",oui
45165,Gy-les-Nonains,"100,00",oui
45182,Ligny-le-Ribault,"100,00",oui
45208,Montargis,"100,00",oui
45274,Saint-Denis-en-Val,"100,00",oui
45277,Saint-Florent-le-Jeune,"100,00",oui
46078,Couzou,"100,00",oui
46102,Figeac,"100,00",oui
46309,Souillac,"100,00",oui
46330,Vayrac,"100,00",oui
47001,Agen,"100,00",oui
47004,Aiguillon,"100,00",oui
47031,Boé,"100,00",oui
47046,Calonges,"100,00",oui
47049,Casseneuil,"100,00",oui
47057,Castillonnès,"100,00",oui
47138,Laroque-Timbaut,"100,00",oui
47157,Marmande,"100,00",oui
47173,Monclar,"100,00",oui
47201,Le Passage,"83,33",non
47207,Pompiey,"100,00",oui
47215,Pujols,"100,00",oui
47252,Sainte-Livrade-sur-Lot,"100,00",oui
47295,Savignac-sur-Leyze,"100,00",oui
47310,Tonneins,"100,00",oui
47323,Villeneuve-sur-Lot,"100,00",oui
48070,Grandrieu,"100,00",oui
48095,Mende,"100,00",oui
48096,Meyrueis,"100,00",oui
48140,Saint-Chély-d'Apcher,"100,00",oui
49035,Bouchemaine,"100,00",oui
49050,Brissac Loire Aubance,"100,00",oui
